player_id,first_name,last_name,Date1,Date2,Date3,Date4,birth_year,birth_month,birth_day,birth_month2
8467867,Bryan,Adams,20-Mar-77,Mar-20-1977,3/20/77,3/20/77,1977,3,20,Mar
8445176,Donald,Audette,23-Sep-69,Sep-23-1969,9/23/69,9/23/69,1969,9,23,Sep
8460014,Eric,Bertrand,16-Apr-75,Apr-16-1975,4/16/75,4/16/75,1975,4,16,Apr
8460510,Jason,Botterill,19-May-76,May-19-1976,5/19/76,5/19/76,1976,5,19,May
8459596,Andrew,Brunette,24-Aug-73,Aug-24-1973,8/24/73,8/24/73,1973,8,24,Aug
8445733,Kelly,Buchberger,2-Dec-66,Dec-2-1966,12/2/66,12/2/66,1966,12,2,Dec
8460573,Hnat,Domenichelli,17-Feb-76,Feb-17-1976,2/17/76,2/17/76,1976,2,17,Feb
8459450,Shean,Donovan,22-Jan-75,Jan-22-1975,1/22/75,1/22/75,1975,1,22,Jan
8446675,Nelson,Emerson,17-Aug-67,Aug-17-1967,8/17/67,8/17/67,1967,8,17,Aug
8446823,Ray,Ferraro,23-Aug-64,Aug-23-1964,8/23/64,8/23/64,1964,8,23,Aug
8447071,Johan,Garpenlov,21-Mar-68,Mar-21-1968,3/21/68,3/21/68,1968,3,21,Mar
8460482,Stephen,Guolla,15-Mar-73,Mar-15-1973,3/15/73,3/15/73,1973,3,15,Mar
8460524,Matt,Johnson,23-Nov-75,Nov-23-1975,11/23/75,11/23/75,1975,11,23,Nov
8459571,Andreas,Karlsson,19-Aug-75,Aug-19-1975,8/19/75,8/19/75,1975,8,19,Aug
8458888,Denny,Lambert,7-Jan-70,Jan-7-1970,1/7/70,1/7/70,1970,1,7,Jan
8458649,Martin,Prochazka,3-Mar-72,Mar-3-1972,3/3/72,3/3/72,1972,3,3,Mar
8451673,Mike,Stapleton,5-May-66,May-5-1966,5/5/66,5/5/66,1966,5,5,May
8467055,Patrik,Stefan,16-Sep-80,Sep-16-1980,9/16/80,9/16/80,1980,9,16,Sep
8459562,Per,Svartvadet,17-May-75,May-17-1975,5/17/75,5/17/75,1975,5,17,May
8459414,Dean,Sylvester,30-Dec-72,Dec-30-1972,12/30/72,12/30/72,1972,12,30,Dec
8465975,Herbert,Vasiljevs,27-May-76,May-27-1976,5/27/76,5/27/76,1976,5,27,May
8458587,Vladimir,Vujtek,17-Feb-72,Feb-17-1972,2/17/72,2/17/72,1972,2,17,Feb
8458348,Ed,Ward,10-Nov-69,Nov-10-1969,11/10/69,11/10/69,1969,11,10,Nov
8462090,Petr,Buzek,26-Apr-77,Apr-26-1977,4/26/77,4/26/77,1977,4,26,Apr
8465122,Brett,Clark,23-Dec-76,Dec-23-1976,12/23/76,12/23/76,1976,12,23,Dec
8456024,Kevin,Dean,1-Apr-69,Apr-1-1969,4/1/69,4/1/69,1969,4,1,Apr
8459482,Maxim,Galanov,13-Mar-74,Mar-13-1974,3/13/74,3/13/74,1974,3,13,Mar
8456514,David,Harlock,16-Mar-71,Mar-16-1971,3/16/71,3/16/71,1971,3,16,Mar
8467949,Frantisek,Kaberle,8-Nov-73,Nov-8-1973,11/8/73,11/8/73,1973,11,8,Nov
8459098,Geordie,Kinnear,9-Jul-73,Jul-9-1973,7/9/73,7/9/73,1973,7,9,Jul
8457264,Chris,Mcalpine,1-Dec-71,Dec-1-1971,12/1/71,12/1/71,1971,12,1,Dec
8449754,Gord,Murphy,23-Feb-67,Feb-23-1967,2/23/67,2/23/67,1967,2,23,Feb
8460004,Ruman,Ndur,7-Jul-75,Jul-7-1975,7/7/75,7/7/75,1975,7,7,Jul
8451333,Darryl,Shannon,21-Jun-68,Jun-21-1968,6/21/68,6/21/68,1968,6,21,Jun
8458541,Steve,Staios,28-Jul-73,Jul-28-1973,7/28/73,7/28/73,1973,7,28,Jul
8458179,Chris,Tamer,17-Nov-70,Nov-17-1970,11/17/70,11/17/70,1970,11,17,Nov
